Time	STIBOR 1W	SE GVB 10Y
1987-09	8,72	12,0527
1987-10	8,9155	12,0264
1987-11	8,9871	11,6219
1987-12	8,621	11,7355
1988-01	8,9544	11,6853
1988-02	9,4314	11,3162
1988-03	9,5578	11,3574
1988-04	9,9432	11,3826
1988-05	10,5142	11,56
1988-06	10,4243	11,32
1988-07	10,4538	11,3919
1988-08	10,4736	11,5909
1988-09	10,4159	11,5023
1988-10	10,5581	11,3895
1988-11	10,6664	11,0809
1988-12	10,4576	10,96
1989-01	10,6971	10,5048
1989-02	10,8795	10,545
1989-03	11,3632	10,9519
1989-04	11,471	11,077
1989-05	11,579	11,0765
1989-06	11,8562	11,1467
1989-07	12,1038	11,2314
1989-08	11,9983	11,0448
1989-09	12,0329	11,0062
1989-10	12,1755	11,2027
1989-11	11,6745	12,1541
1989-12	12,2884	12,5842
1990-01	12,3039	12,8987
1990-02	15,5988	13,7388
1990-03	14,7736	13,7764
1990-04	13,7184	13,6663
1990-05	12,639	13,3057
1990-06	12,2626	12,9163
1990-07	12,3477	12,845
1990-08	12,5735	13,293
1990-09	12,663	13,3835
1990-10	14,8639	13,2804
1990-11	14,7264	12,8268
1990-12	14,9388	12,33
1991-01	14,04	11,8845
1991-02	12,7765	11,179
1991-03	12,48	11,3615
1991-04	12,4962	11,3729
1991-05	12,0445	10,8225
1991-06	10,5237	10,6295
1991-07	10,5074	10,637
1991-08	10,4795	10,6455
1991-09	10,3876	10,2138
1991-10	10,8196	10,0296
1991-11	11,0095	9,8738
1991-12	15,02	10,03
1992-01	13,1805	9,5433
1992-02	12,371	9,4545
1992-03	11,6018	9,4155
1992-04	11,9875	9,5515
1992-05	11,7768	9,5447
1992-06	11,7295	9,646
1992-07	11,8878	9,8591
1992-08	13,3743	10,5976
1992-09	46,5082	11,2155
1992-10	17,7545	10,9841
1992-11	13,3571	10,6295
1992-12	11,8325	9,7915
1993-01	10,8184	10,1742
1993-02	10,193	9,8325
1993-03	10,0274	9,3965
1993-04	9,9515	9,4385
1993-05	9,2442	9,1205
1993-06	8,9424	8,7081
1993-07	8,75	8,2714
1993-08	8,2864	7,6555
1993-09	8,2123	7,8223
1993-10	8,1143	7,591
1993-11	7,93	7,5168
1993-12	7,9071	7,2986
1994-01	7,82	7,047
1994-02	7,612	7,147
1994-03	7,4096	7,8696
1994-04	7,4179	8,6405
1994-05	7,198	8,9115
1994-06	7,0181	10,0095
1994-07	7,0652	10,9038
1994-08	7,2613	11,4387
1994-09	7,3045	11,4309
1994-10	7,271	11,1338
1994-11	7,4514	11,1168
1994-12	7,5767	10,8642
1995-01	7,6286	11,0324
1995-02	7,7695	10,737
1995-03	8,1487	11,203
1995-04	8,3861	11,44
1995-05	8,4586	10,7652
1995-06	8,708	10,612
1995-07	8,9452	10,579
1995-08	8,95	10,247
1995-09	8,9481	9,6614
1995-10	8,9455	9,3295
1995-11	8,94	9,0159
1995-12	8,9395	8,6305
1996-01	8,6945	8,2536
1996-02	8,3362	8,7805
1996-03	7,7505	8,7943
1996-04	7,141	8,361
1996-05	6,682	8,4635
1996-06	6,2411	8,37
1996-07	5,7709	8,2883
1996-08	5,4264	8,1341
1996-09	5,1462	7,8233
1996-10	4,8913	7,22
1996-11	4,6029	7,291
1996-12	4,3272	6,8806
1997-01	4,201	6,7686
1997-02	4,20	6,712
1997-03	4,20	7,1263
1997-04	4,20	7,2682
1997-05	4,1989	7,0432
1997-06	4,20	6,8255
1997-07	4,2309	6,4748
1997-08	4,2567	6,5638
1997-09	4,2418	6,4077
1997-10	4,25	6,2526
1997-11	4,254	6,3305
