"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HOUSECOST","REAL","IDX2015","Q","1985-Q1",65.3393073393996,
"USA","HOUSECOST","REAL","IDX2015","Q","1985-Q2",65.8140389717401,
"USA","HOUSECOST","REAL","IDX2015","Q","1985-Q3",66.6146044567491,
"USA","HOUSECOST","REAL","IDX2015","Q","1985-Q4",67.3234351213345,
"USA","HOUSECOST","REAL","IDX2015","Q","1986-Q1",67.9781782607652,
"USA","HOUSECOST","REAL","IDX2015","Q","1986-Q2",69.4850236815392,
"USA","HOUSECOST","REAL","IDX2015","Q","1986-Q3",70.480887638936,
"USA","HOUSECOST","REAL","IDX2015","Q","1986-Q4",71.5966861519594,
"USA","HOUSECOST","REAL","IDX2015","Q","1987-Q1",72.3436161816783,
"USA","HOUSECOST","REAL","IDX2015","Q","1987-Q2",72.9977432724214,
"USA","HOUSECOST","REAL","IDX2015","Q","1987-Q3",73.4672345195757,
"USA","HOUSECOST","REAL","IDX2015","Q","1987-Q4",73.7128263524793,
"USA","HOUSECOST","REAL","IDX2015","Q","1988-Q1",74.3443464730697,
"USA","HOUSECOST","REAL","IDX2015","Q","1988-Q2",75.0836285818313,
"USA","HOUSECOST","REAL","IDX2015","Q","1988-Q3",74.8786162907362,
"USA","HOUSECOST","REAL","IDX2015","Q","1988-Q4",75.1262846748873,
"USA","HOUSECOST","REAL","IDX2015","Q","1989-Q1",75.1916839851356,
"USA","HOUSECOST","REAL","IDX2015","Q","1989-Q2",75.1386441151635,
"USA","HOUSECOST","REAL","IDX2015","Q","1989-Q3",76.3083468582101,
"USA","HOUSECOST","REAL","IDX2015","Q","1989-Q4",76.6205701674781,
"USA","HOUSECOST","REAL","IDX2015","Q","1990-Q1",75.7836885549381,
"USA","HOUSECOST","REAL","IDX2015","Q","1990-Q2",75.0422503499687,
"USA","HOUSECOST","REAL","IDX2015","Q","1990-Q3",74.2093658919761,
"USA","HOUSECOST","REAL","IDX2015","Q","1990-Q4",73.0466395847996,
"USA","HOUSECOST","REAL","IDX2015","Q","1991-Q1",73.2086531305106,
"USA","HOUSECOST","REAL","IDX2015","Q","1991-Q2",72.819453193162,
"USA","HOUSECOST","REAL","IDX2015","Q","1991-Q3",72.4520036387069,
"USA","HOUSECOST","REAL","IDX2015","Q","1991-Q4",72.5774549631765,
"USA","HOUSECOST","REAL","IDX2015","Q","1992-Q1",72.9828191071553,
"USA","HOUSECOST","REAL","IDX2015","Q","1992-Q2",72.4161318648886,
"USA","HOUSECOST","REAL","IDX2015","Q","1992-Q3",72.5774277685091,
"USA","HOUSECOST","REAL","IDX2015","Q","1992-Q4",72.6409719969194,
"USA","HOUSECOST","REAL","IDX2015","Q","1993-Q1",72.2379807688414,
"USA","HOUSECOST","REAL","IDX2015","Q","1993-Q2",72.4739722227467,
"USA","HOUSECOST","REAL","IDX2015","Q","1993-Q3",72.7034110138228,
